COM;REG;DEP;NCC;NCCENR;LIBELLE
14632;;;SAINT MARTIN DON;Saint-Martin-Don;Saint-Martin-Don
14633;;;SAINT MARTIN DU MESNIL OURY;Saint-Martin-du-Mesnil-Oury;Saint-Martin-du-Mesnil-Oury
14634;;;SAINT MICHEL DE LIVET;Saint-Michel-de-Livet;Saint-Michel-de-Livet
14635;28;14;SAINT OMER;Saint-Omer;Saint-Omer
14636;;;SAINT OUEN DES BESACES;Saint-Ouen-des-Besaces;Saint-Ouen-des-Besaces
14637;28;14;SAINT OUEN DU MESNIL OGER;Saint-Ouen-du-Mesnil-Oger;Saint-Ouen-du-Mesnil-Oger
14638;;;SAINT OUEN LE HOUX;Saint-Ouen-le-Houx;Saint-Ouen-le-Houx
14639;28;14;SAINT OUEN LE PIN;Saint-Ouen-le-Pin;Saint-Ouen-le-Pin
14640;28;14;SAINT PAIR;Saint-Pair;Saint-Pair
14642;;;SAINT PAUL DE COURTONNE;Saint-Paul-de-Courtonne;Saint-Paul-de-Courtonne
14643;28;14;SAINT PAUL DU VERNAY;Saint-Paul-du-Vernay;Saint-Paul-du-Vernay
14644;28;14;SAINT PHILBERT DES CHAMPS;Saint-Philbert-des-Champs;Saint-Philbert-des-Champs
14645;28;14;SAINT PIERRE AZIF;Saint-Pierre-Azif;Saint-Pierre-Azif
14646;28;14;SAINT PIERRE CANIVET;Saint-Pierre-Canivet;Saint-Pierre-Canivet
14647;;;SAINT PIERRE DE MAILLOC;Saint-Pierre-de-Mailloc;Saint-Pierre-de-Mailloc
14648;28;14;SAINT PIERRE DES IFS;Saint-Pierre-des-Ifs;Saint-Pierre-des-Ifs
14649;28;14;SAINT PIERRE DU BU;Saint-Pierre-du-Bû;Saint-Pierre-du-Bû
14650;28;14;SAINT PIERRE DU FRESNE;Saint-Pierre-du-Fresne;Saint-Pierre-du-Fresne
14651;28;14;SAINT PIERRE DU JONQUET;Saint-Pierre-du-Jonquet;Saint-Pierre-du-Jonquet
14652;28;14;SAINT PIERRE DU MONT;Saint-Pierre-du-Mont;Saint-Pierre-du-Mont
14653;;;SAINT PIERRE LA VIEILLE;Saint-Pierre-la-Vieille;Saint-Pierre-la-Vieille
14654;28;14;SAINT PIERRE EN AUGE;Saint-Pierre-en-Auge;Saint-Pierre-en-Auge
14654;;;SAINT PIERRE SUR DIVES;Saint-Pierre-sur-Dives;Saint-Pierre-sur-Dives
14655;;;SAINT PIERRE TARENTAINE;Saint-Pierre-Tarentaine;Saint-Pierre-Tarentaine
14656;28;14;SAINT REMY;Saint-Rémy;Saint-Rémy
14657;28;14;SAINT SAMSON;Saint-Samson;Saint-Samson
14658;28;14;NOUES DE SIENNE;Noues de Sienne;Noues de Sienne
14658;;;SAINT SEVER CALVADOS;Saint-Sever-Calvados;Saint-Sever-Calvados
14659;28;14;SAINT SYLVAIN;Saint-Sylvain;Saint-Sylvain
14660;28;14;SAINT VAAST EN AUGE;Saint-Vaast-en-Auge;Saint-Vaast-en-Auge
14661;28;14;SAINT VAAST SUR SEULLES;Saint-Vaast-sur-Seulles;Saint-Vaast-sur-Seulles
14662;;;SAINT VIGOR DES MEZERETS;Saint-Vigor-des-Mézerets;Saint-Vigor-des-Mézerets
14663;28;14;SAINT VIGOR LE GRAND;Saint-Vigor-le-Grand;Saint-Vigor-le-Grand
14664;28;14;SALLEN;Sallen;Sallen
